File Name: C:\Users\common\Documents\CLART\Specificity CPH\CLART spec CPH 170615 cl.rbx																																													
Acquisition Date: 15-Jun-2017, 09:09 AM																																													
Reader Serial Number: LX10010029402																																													
RP1 PMT (Volts): 544.08																																													
RP1 Target: 3684																																													
Plate ID: 																																													
																																													
Well	Type	Description	HPV 6 (20)	HPV 11 (11)	HPV 16 (16)	HPV 18 (38)	HPV 18.6650G (34)	HPV 26 (26)	HPV 30 (30)	HPV 31 (22)	HPV 33.2 (33)	HPV 35 (35)	HPV 35.6624A (41)	HPV 39 (39)	HPV 40 (40)	HPV 42 (42)	HPV 43 (43)	HPV 45 (45)	HPV 51 (51)	HPV 52 (52)	HPV 53 (53)	HPV 54 (54)	HPV 56 (56)	HPV 58.1 (47)	HPV 59 (24)	HPV 61 (25)	HPV 66 (66)	HPV 67 (27)	HPV 68 ME.1 (44)	HPV 68 O (28)	HPV 69 (19)	HPV 70 (21)	HPV 73 (58)	HPV 74 (23)	HPV 81 (29)	HPV 82 (32)	HPV 83 (36)	HPV 86 (37)	HPV 87 (48)	HPV 89 (49)	HPV 90 (55)	HPV 91 (57)	U1 (46)	U2 (50)	Sampling Errors
C4	X27	16hvh905764	0	0	1	1	0	1	1	0	0	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	0	1	4	1	1	1	1	1	1	1	1	1	10	24	
D4	X28	16hvh905765	1	0	0	1	0	1	2	0	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	3	1	3	1	1	1	4	1	1	1	1	1	1	1	1	1	19	44	
E4	X29	16hvh905766	1	0	0	1	1	0	2	1	1	1	1	2	2	1	1	1	1	1	0	1	1	1	1	0	2	1	3	1	1	1	4	0	1	2	19	1	1	1	2	1	11	31	
F4	X30	16hvh905767	1	0	0	1	1	1	2	0	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	4	1	1	2	1	1	1	1	2	1	11	26	
G4	X31	16hvh905768	1	0	1	1	1	0	2	0	1	1	1	3	2	1	1	1	1	1	0	1	1	1	1	0	2	1	4	1	0	1	4	1	1	1	1	1	1	1	2	2	29	78	
H4	X32	16hvh905769	1	0	1	0	1	0	2	0	1	1	1	3	5	1	1	1	2	1	1	1	1	1	2	0	2	1	9	2	1	1	4	1	1	2	1	1	1	1	2	1	126	234	
A5	X33	16hvh905770	1	1	0	1	1	1	1	0	1	0	0	2	1	1	1	1	1	1	1	2	1	1	180	1	2	1	3	1	1	1	4	1	1	2	1	1	1	0	1	1	20	30	
B5	X34	16hvh905771	1	0	1	0	1	0	2	0	0	0	1	2	3	1	1	26	1	1	1	1	1	1	1	1	2	1	2	1	0	1	4	15	1	4	1	1	3	1	2	1	25	21	
C5	X35	16hvh905772	1	0	1	1	1	0	6	0	1	1	1	3	24	1	1	1	1	1	1	1	1	1	1	0	3	2	4	1	1	1	4	3	1	3	1	1	1	1	2	1	15	41	
D5	X36	16hvh905773	1	0	1	1	1	1	2	0	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	0	2	1	3	1	0	1	4	1	1	1	1	1	0	1	2	1	12	29	
E5	X37	16hvh905774	1	0	0	1	1	0	2	0	1	0	0	2	1	1	1	1	1	2	1	1	1	0	1	1	2	1	1	1	0	1	4	1	1	1	1	1	0	1	1	1	1	2	
F5	X38	16hvh905775	0	0	1	1	1	0	2	0	1	0	1	3	1	1	1	1	1	1	1	1	1	1	1	0	2	1	2	1	0	1	4	1	1	1	1	1	1	1	2	1	6	13	
G5	X39	16hvh905776	1	0	0	0	1	1	2	0	1	1	1	2	3	1	1	1	1	1	1	1	1	1	1	1	2	1	3	1	0	1	4	1	2	1	1	1	1	1	2	1	13	33	
H5	X40	16hvh905777	1	0	1	1	1	1	2	1	1	1	1	2	2	1	1	0	1	1	0	1	1	1	1	0	2	1	3	2	1	0	4	0	2	1	1	1	1	1	2	1	18	30	
A6	X41	16hvh905778	1	1	1	1	1	1	1	0	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	2	1	2	1	0	1	4	1	1	1	1	1	1	1	2	1	13	34	
B6	X42	16hvh905779	1	1	0	1	1	0	2	1	1	0	1	2	1	1	1	1	1	1	1	1	1	1	1	0	2	2	2	1	1	1	4	2	1	3	1	1	1	1	2	1	10	19	
C6	X43	16hvh905780	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	0	2	1	2	1	0	1	4	1	1	2	1	1	1	1	2	1	6	12	
D6	X44	16hvh905781	1	0	0	0	1	0	2	0	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	0	2	0	3	1	0	1	4	1	1	1	1	1	1	1	2	1	20	41	
E6	X45	16hvh905782	1	0	0	0	1	0	4	0	1	1	1	3	20	1	1	1	1	1	1	1	1	1	1	1	2	1	2	0	0	1	4	10	1	9	1	1	1	1	3	1	8	20	
F6	X46	16hvh905783	1	0	0	0	1	0	2	0	0	0	1	3	5	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	4	2	1	3	1	1	1	1	2	1	7	15	
G6	X47	16hvh905784	1	0	1	0	1	1	3	0	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	0	3	1	2	1	1	1	4	1	2	2	1	1	45	1	2	25	36	28	
H6	X48	16hvh905785	0	0	0	1	1	0	2	0	1	1	1	3	2	72	1	1	1	1	1	2	1	1	1	1	2	1	3	1	1	1	4	1	1	2	1	1	1	1	2	1	23	48	
A7	X49	16hvh905786	1	0	1	1	1	1	2	0	0	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	0	3	1	0	1	4	1	1	1	1	1	1	1	1	1	14	32	
B7	X50	16hvh905787	1	1	0	1	1	0	2	1	0	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	4	1	1	2	1	1	0	1	2	1	10	22	
C7	X51	16hvh905788	1	1	0	0	1	0	1	0	1	0	1	3	1	1	0	1	1	1	1	1	1	1	1	1	2	1	3	1	1	0	4	1	1	1	1	1	1	1	2	1	15	29	
D7	X52	16hvh905789	1	1	1	0	0	1	1	0	0	1	1	3	1	1	0	1	1	1	1	1	1	1	1	0	2	1	3	1	0	1	4	1	1	1	1	1	1	1	1	1	14	40	
E7	X53	16hvh904851	0	0	0	1	1	1	2	0	1	1	1	2	3	1	1	1	1	1	1	1	1	1	1	0	2	1	5	1	0	1	4	20	1	2	1	1	1	1	2	1	39	99	
